 									
He 681	Lab G BCA-3-2	2025-10-14T20:26:06	time_sec	5 amu	5 amu	5 amu	5 amu	5 amu	5 amu
6.005	3.178730E-14	1.745116E-14	6.208396E-15	3.602227E-15	7.019106E-15	3.680767E-15
14.025	2.470773E-14	1.095565E-14	1.284353E-14	5.906039E-15	5.120649E-15	1.038498E-14
22.143	1.570486E-14	1.039911E-14	5.892764E-15	2.378295E-14	2.550368E-15	7.514429E-15
30.259	2.339800E-14	2.133707E-15	6.265426E-15	2.868212E-15	1.066435E-14	4.491231E-15
38.375	1.059577E-14	3.708913E-15	1.059282E-14	1.604655E-14	7.670525E-15	2.952404E-15
46.396	6.298857E-14	3.213735E-14	1.953472E-14	8.966480E-15	2.345603E-15	7.911551E-15
54.515	2.945889E-15	1.769304E-14	1.514440E-14	1.385680E-14	1.469528E-14	2.832569E-15
62.543	1.012773E-14	4.141554E-15	2.206468E-15	1.291187E-14	9.591352E-15	8.025608E-15
70.669	1.414342E-14	2.372838E-14	2.453663E-14	4.327883E-15	6.984936E-15	9.732453E-15
78.788	4.014514E-14	4.739384E-15	2.080413E-14	6.463555E-15	5.887603E-15	6.546273E-15
86.801	2.025546E-14	2.371855E-14	2.611577E-15	1.289614E-14	6.563358E-16	7.396068E-15
94.919	1.229093E-14	2.786207E-14	1.697623E-14	5.828853E-15	1.310877E-14	4.698700E-15
103.037	4.621391E-15	1.092811E-14	8.570220E-15	5.675461E-15	6.884890E-15	9.526457E-15
111.154	3.422976E-14	5.960613E-15	3.970463E-15	3.858861E-15	7.985665E-15	4.823085E-15
119.174	1.842263E-14	3.577153E-14	2.385424E-15	1.166360E-14	5.358355E-15	4.713571E-15
127.292	2.941564E-14	2.466643E-14	1.179438E-14	1.081111E-14	5.401373E-15	9.863351E-15
135.406	2.392111E-14	2.328395E-15	1.433418E-14	1.138829E-14	2.831585E-15	5.395473E-15
143.425	2.279624E-14	1.959863E-14	2.085033E-14	1.575648E-14	8.282859E-15	6.959866E-15
151.540	1.240499E-14	3.089252E-14	1.315523E-14	1.169015E-14	1.177594E-14	4.796044E-15
159.660	1.384844E-14	3.427892E-14	9.645925E-15	1.454754E-14	7.928636E-15	3.316218E-15
167.673	3.583051E-15	1.782480E-14	1.638529E-14	1.606622E-14	7.489111E-15	8.152822E-15
175.796	2.420036E-14	5.535836E-15	1.066263E-14	3.469484E-15	7.474853E-15	8.278554E-15
183.913	4.597398E-14	2.556907E-14	6.882440E-18	4.308216E-15	5.692421E-15	5.408013E-15
191.936	1.303429E-14	1.975399E-14	1.960158E-14	1.153676E-14	9.902804E-15	8.759257E-15
200.051	1.291630E-14	1.733317E-14	2.184541E-14	1.058987E-14	1.159305E-14	7.953340E-15
208.171	4.160038E-14	3.157098E-14	2.064189E-14	1.109281E-14	6.568766E-15	4.526872E-15
216.284	5.185790E-14	3.038319E-14	1.139714E-14	1.055939E-14	1.019656E-14	2.363669E-15
